epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,3038.81,0.97957,0.74488,0.9035,0.96284,0.9862,0.97735,0.66416,1.09941,0.69191,0.87692,0.0001585,0.0001585,0.0001585
87,3073.42,0.96257,0.70495,0.89324,0.96404,0.98712,0.97415,0.64761,1.19085,0.72172,0.88526,0.0001486,0.0001486,0.0001486
88,3108.45,1.00392,0.75668,0.91277,0.95921,0.98509,0.97369,0.64571,1.20037,0.72713,0.8853,0.0001387,0.0001387,0.0001387
89,3144.41,0.97948,0.72135,0.90184,0.95813,0.98778,0.96799,0.65346,1.15847,0.72306,0.87664,0.0001288,0.0001288,0.0001288
90,3179.99,0.98896,0.75717,0.89286,0.95851,0.98324,0.9681,0.65647,1.13076,0.71754,0.87331,0.0001189,0.0001189,0.0001189
91,3216.17,0.89809,0.68791,0.8974,0.9545,0.9657,0.96745,0.66758,1.06402,0.71162,0.86685,0.000109,0.000109,0.000109
92,3251.17,0.92965,0.71299,0.88875,0.92182,0.99265,0.96185,0.66403,1.03349,0.71773,0.86279,9.91e-05,9.91e-05,9.91e-05
93,3286.71,0.91411,0.68976,0.88559,0.92473,0.99265,0.96185,0.66008,1.0386,0.72039,0.86327,8.92e-05,8.92e-05,8.92e-05
94,3321.27,0.92327,0.70171,0.885,0.94442,0.99265,0.96067,0.65371,1.0752,0.73353,0.86764,7.93e-05,7.93e-05,7.93e-05
95,3355.98,0.90425,0.69012,0.89043,0.93617,0.99265,0.95311,0.64426,1.08057,0.73549,0.86643,6.94e-05,6.94e-05,6.94e-05
96,3390.65,0.88663,0.67578,0.88193,0.93921,0.99265,0.95884,0.64821,1.06677,0.73643,0.86455,5.95e-05,5.95e-05,5.95e-05
97,3425.42,0.89792,0.69542,0.88932,0.94329,0.99265,0.96533,0.65591,1.06486,0.73937,0.86445,4.96e-05,4.96e-05,4.96e-05
98,3460.41,0.91739,0.68574,0.88642,0.94304,0.99265,0.96105,0.65083,1.0754,0.73213,0.86537,3.97e-05,3.97e-05,3.97e-05
99,3496.09,0.92564,0.68944,0.88833,0.93875,0.99265,0.96043,0.6482,1.08754,0.74422,0.86635,2.98e-05,2.98e-05,2.98e-05
100,3531.74,0.92811,0.68857,0.87614,0.93973,0.99265,0.96065,0.6467,1.09453,0.74418,0.86671,1.99e-05,1.99e-05,1.99e-05
